A-01-01,We have a malfunction.,‘indina mushkeeleh v shaghleh,عندنا مشكله ف شغله.
M-23-27,Mental disease,maRaDh navsee,مرض نفسي
M-23-28,Mumps,inkaav,النكاف
M-23-29,Nervous breakdown,Sadmeh ‘aSabeeyeh,صدمه عصبيه
M-23-30,Paratyphoid fever,maRaDh il haDhim,مرض الهضم
M-23-31,Peritonsillar abscess,maRaDh il ghideh,مرض الغده
M-23-32,Plague,Taa’oon,طاعون
M-23-33,Pleuritis,ilteehaab il gaashoosh,ألتهاب الكٌاشوش
M-23-34,Pneumonia,ilteehaab iR Reeyeh,ألتهاب الريَ
M-23-35,Polio,shalal laTfaal,شلل لطفال
M-23-36,Rabies,Himit il kalib,حمة الكلب
M-23-37,Ringworm,doodt izhil,دودة أجل
M-23-38,Scabies,izhRab,أجرب
M-23-39,Scarlet fever,maRaDh il qiRmoz,مرض القرمز
M-23-40,Scurvy,naqiS il veetaameen,نقص الفيتامين
M-23-41,Sexually transmitted disease (STD),amRaaDh il zhins,أمراض الجنس
M-23-42,Skin disease,maRaDh izhil,مرض أجل
M-23-43,Smallpox,izhidRee,أجدري
M-23-44,Tapeworm infection,iHnooshit izhowv,أحنوشت أجوف
M-23-45,Tetanus,il kozaaz,الكزاز
M-23-46,Tonsillitis,ilteehaab il loozaat,ألتهاب أللوزات
M-23-47,Trench mouth,izhRab il vom,جرب الفُم
M-23-48,Trichinosis,maRaDh doodit il KhanzeeR,مرض دودة الخنزير
M-23-49,Tuberculosis,maRaDh is sil,مرض السل
M-23-50,Typhoid fever,Himit itivweed,حمة أتيفويد
M-23-51,Warts,ikRoT,أكرطْ
M-23-52,Worms,Himit id doodeh,حمة أدوده
M-23-53,Yellow fever,il Himeh iS SavRah,الحمه أصفره
N-01-01,Where is the captain?,waynhowa il kaapeetayn?,وينهو الكابتين؟
N-01-02,Where are the weapons?,waynhoma laasliHa?,وينهوم الأسلحه؟
N-01-03,Where is the control room?,waynhowa bayt lazh- heza?,وينهو بيت الأجهزه؟
N-01-04,Where is the manifest?,waynhowa il maanifest?,وينهو المانيفست؟
N-01-05,How many men are on this ship?,kam min Raazhil v is saveena?,كم من راجل ف السفينه؟
N-01-06,Maintain the speed at 5 knots.,ihna i’la siR’it Khamsa ‘oqda,أهن أعلَ سرعة خمسه عقده.
N-01-07,Go 180 degrees now.,imshee meeyeh o ithmaaneen ThaRik,أمشي ميه وأثمانين ظركْ.
N-01-08,What is the cargo?,shinheeyeh il Homoola?,شنهي الحموله؟
N-01-09,Where is the main office?,waynhowa il maktab iR Ra-eesee?,وينهو المكتب الرئيسي؟
N-01-10,Where is the port?,waynhowa ipoR?,وينهو أَبَور؟
N-01-11,Stop the engines!,iTfee il makaayin!,أطفي المكاين!
N-01-12,Muster the crew!,zhahiz iT Taaqim!,جهز الطاقم!
N-01-13,Give me the navy chart.,a’Teenee zhadwal bayaanaat il baHReeyeh,أعطيني جدول بيانات البحريه.
N-01-14,Give me the ship’s logs.,a’Teenee sizhil is saveena,أعطيني سجل السفينه.
N-02-01,Load the weapon.,iRvid iselaaH,أرفد السلاح.
N-02-02,Get ready.,ista’id,أستعد.
N-02-03,Fire!,iKhbaT!,إخبط!
N-02-04,Pull the slide.,intaR iz ziHlaaqa,أنتر الزحلاقه.
N-02-05,Clear on the right.,waalee i’la iz ziR il ‘aRbee,والي أعلَ الزر العربي.
N-02-06,Clear on the left.,waalee i’la iz ziR il ‘asRee,والي أعلَ الزر العسري.
N-02-07,Secure the magazine.,amin il magazayneh,أمَن المكٌزينه.
N-02-08,Pull the trigger.,intaR il qaRs,أنتر القرس.
N-02-09,Don’t shoot!,laa taKhbaT!,لا تخبط!
N-03-01,Follow our orders.,imtathil awaamiRna,أمتثل أوامرنا.
N-03-02,Do not resist!,laa itqaawim!,لا تقاوم!
N-03-03,Look forward!,KhaRaS il gidaam!,خرص ألقدام!
N-03-04,Close your eyes!,ghamaTh ‘eeneek!,غمظ عينيك!
N-03-05,Talk!,itkalam!,أتكلم!
N-03-06,Silence!,iskaat!,السكاتْ!
N-03-07,Kneel!,ogav i’la iRkaabeek!,أوقٌف أعلَ أركابيكْ!
N-03-08,Drink!,ishRob!,أشرب!
N-03-09,Stop!,ogav!,أوقٌف!
N-03-10,Turn!,itgalab!,أتكٌلبْ!
N-03-11,Spread out!,intashaR!,أنتشر!
N-03-12,,,
N-03-13,Keep away!,ibga ib’eed!,أبقٌ أبعيد!
N-03-14,Don’t move!,laa taHRik!,لا تحرك!
N-03-15,Come here!,wahaay zhaay!,وهاي جايْ!
N-03-16,Get up!,ogav!,أوقٌف!
N-03-17,Get down!,ibRik!,أبركْ!
N-03-18,Hands up!,eydeek il vog!,أيديك الفوقٌ!
N-03-19,Wait!,Haanee!,حاني!
N-03-20,Go!,imshee!,أمشي!
N-03-21,Cross your legs!,Dhaam kiR’ayk!,ضام كرعيك!
N-03-22,Calm down!,itkaayis!,أتكايس!
N-03-23,Don’t look at me!,laa itKhaRaSnee!,لا تخرصني!
N-04-01,This is a United States Navy war ship.,haaThee saveeneh HaRbeeyeh lil baHReeyeh il amReekeeyeh,هاذي سفينه حربيه للبحريه الأمريكيه.
N-04-02,Do you speak English?,inta titkalem lingleezeeyeh?,أنت تتكلم الإنكٌليزيه؟
N-04-03,Who in your group speaks English?,min veeh min izhmaa’tak yitkalam lingleezeeyeh?,من فيه من أجماعتك يتكلم الإنكٌليزيه؟
N-04-04,Stay calm.,Khaleek saakit,خليكَ ساكتْ.
N-04-05,Do not move!,laa taHRik!,لا تحرك!
N-04-06,We are United States Sailors.,naHna baHaaRa min amReek,نحن بحاره من آمريك.
N-04-07,Who is the captain of this vessel?,min howa kaapeetayn haaThee is saveeneh?,من هو كابتين هاذي السفينه؟
N-04-08,Where is the captain of the vessel?,imnayn howa kaapeetayn is saveeneh?,منينْ هو كابتين السفينه؟
N-04-09,Who is the engineer?,minhowa il mohandis?,منهو المهندس؟
N-04-10,Who is the supply officer?,min howa DhaabiT il mo-an?,من هو ضابط المؤن؟
N-04-11,Who is the communications officer?,min howa DhaabiT il mowaaSalaat?,من هو ضابط المواصلات؟
N-04-12,Who is the master of this vessel?,min howa shayKh is saveeneh?,منْ هو شيخ السفينه؟
N-04-13,What is your name?,inta ismak?,أنت أسمكْ؟
N-04-14,What are the names of your crew?,shinhoma asaamee Taaqmak?,شنهوم أسامي طاقمك؟
N-04-15,What is your citizenship?,shinheeyeh zhinseetak?,شنهي جنسيتك؟
N-04-16,What are the citizenships of the crew?,shinheeya zhinseeyaat iT Taaqim?,شنهي جنسيات الطاقم؟
N-04-17,Show me your passport.,in’atlee ipaaSpoRak,أنعتلي أباصبورك.
N-04-18,Show me your seaman papers.,in’atlee itwaaqTak il libHaR,أنعتلي أتواقطك اللبحر.
N-04-19,Direct me to your cabin.,imshee beeya shoR kaabeenak,أمشي بي شور كابينك.
N-04-20,What is the name of your vessel?,shinhowa isim saveentak?,شنهو اسم سفينتك؟
N-04-21,What other names has this vessel used?,shinheeyeh asmaa Thee is saveeneh liKhRayn?,شنهي أسماء ذي السفينه الأخرين؟
N-04-22,Has this vessel been modified?,Thee is saveeneh maagaT iTawRat?,ذي السفينه ماكٌط أطورتْ؟
N-04-23,What is the draft of your vessel?,shinhowa zhadwal RiHlet saveentak?,شنهو جدول رحلة سفينتك؟
N-04-24,Lead me to your engine room.,gees beeya bayt il makeeneh,كٌيس بيَ بيت المكينه.
N-04-25,Lead me to your stateroom.,gees beeya il qaa’a,كٌيس بيَ القاعة.
N-04-26,Show me your manifest.,in’atlee maanifestak,أنعتلي مانيفستك.
N-04-27,Show me your shipping documents.,in’atlee awRaaqak lil shaHin,أنعتلي أوراقك للشحن.
N-04-28,Show me your shipping schedule.,in’atlee baRnaamizh ish shaHin,أنعتلي برنامج الشحن.
N-04-29,Who is your employer?,tishitghal im’a min?,تشتغل مع من؟
N-04-30,Who is your supervisor?,min howa modeeRak?,من هو مديرك؟
N-04-31,What is your destination?,imnayn laaHig?,أمنين لاحكٌ؟
N-04-32,What is your next port of call?,shinhowa ipoR ilee laahee titaSil i’layh ‘aagib Tha?,شنهو أبوّر أللي لاهِ تتصل أعليهْ عاكٌب ذَ؟
N-04-33,What was your last port of call?,shinhowa ipoR ilee itaSlit i’layh saabig Tha?,شنهو أبوّر أللي أتصلت أعليهْ سابقٌ ذَ؟
N-04-34,Where is your homeport?,shinhowa isim poR dawltak?,شنهو أسم بوّر دولتك؟
N-04-35,How much fuel do you have?,kam min ‘indak min iSaanS?,كم من عندك من إصانصْ؟
N-04-36,Do you have any illegal contraband?,‘indak ay biDhaa’a mohaRbeh?,عندك اي بضاعة مُهربه؟
N-04-37,Do you have any weapons on board?,‘indak ay silaaH v is saveeneh?,عندك أي سلاح في السفينه؟
N-04-38,Do you have any drugs on board?,‘indak ay moKhadiRaat v is saveeneh?,عندك أي مخدرات فى السفينه؟
N-04-39,Do you have any females on board?,‘indak i’layaat v is saveeneh?,عندك أعلياتْ فى السفينه؟
N-04-40,Do you have any children on board?,‘indak itRaykeh isghayReen v is saveeneh?,عندك تريكه أسغيرينْ في السفينه؟
N-04-41,Are you trafficking humans?,inta imhaRab iRwaageezh?,أنت أمْهرب آرواكٌيج؟
N-04-42,Are you trafficking weapons?,inta imhaRab lasliHa?,أنت أمْهرب الأسلحه؟
N-04-43,Are you trafficking illegal drug?,inta imhaRab moKhadiRaat maahee mashRoo’a?,أنت أمْهرب مخدرات ماهي مشروعه؟
N-04-44,Move to the stern of the vessel.,gees is saveeneh min il lowRa,كٌيسْ السفينه من أللورَ.
N-04-45,Move to the bow of the vessel.,gees is saveeneh min gidaam,كٌيسْ السفينه من كٌدامْ.
N-04-46,Raise your hands above your head.,iRvid eydeek vog RaaSak,أرفد أيديك فوقٌ راصكْ.
N-04-47,Keep your hands above your head.,Khalee eydeek vog RaaSak,خلي أيديك فوقٌ راصكْ.
N-04-48,Sit!,ig’id!,أقٌعد!
N-04-49,Stand!,ogav!,أوقٌف!
N-04-50,,,
N-04-51,I will be taking your fingerprints.,laahee nagbaTh baSamaatak,لاهِ نكٌبظ بصماتكْ.
N-04-52,We must search you.,yaalitna in nabshook,يالتنَ أنبشوكْ.
N-04-53,We must search the vessel.,yaalitna in nabsho is saveeneh,يالتنَ أنبشو السفينه.
N-04-54,What is in this compartment?,haaTha lobayt ish veeh?,هاذ لبيُتْ اش فيهْ؟
N-04-55,What is in this container?,haaThee kontinaR ish veeha?,هاذي كونتينير أشْ فيها؟
N-04-56,Open this hatch (Door).,ivtaH Tha il baab,أفتح ذَ البابْ.
N-04-57,Come to all stop.,wagev togeeva taameh,وقٌف توقٌيفه تامه.
N-04-58,Turn off your engines.,iTfee il makaayin,أطفي المكاينْ.
N-04-59,Please present identification.,maRag biTaaqit haweetak min vaDhlak,مركٌ بطاقة هويتك من فضلك.
N-04-60,Please remove any items from your pockets.,maRag Thaak ilee v il baanaak kaamil min vaDhlak,مركٌ ذاك أللي ف الباناكْ كامل من فضلكْ.
N-04-61,I am going to conduct a search of your person.,anaa laahee in’adel tavteesh le paaSaazhtak,أنا لاهي أنعدل تفتيش ل أباصاجتكْ.
N-04-62,Please spread your feet and raise your arms.,vaRag kiR’ayk o Ragab eydeek min vaDhlak,فرقٌ كرعيك وأركٌب أيديك من فضلكْ.
N-04-63,Please turn around.,itgalab min vaDhlak,أتكٌلب من فضلكْ.
N-04-64,Please remove your coat / shoes / hat / etc.,ivsaKh zhaakitak / in’aaylak / qivaaRtak,أفسخ جاكٌتكْ / انعایلک / قفارتک.
N-04-65,"I’m sorry, this is not authorized.","ismaHlee booya, haaTha maa masmooH beeh",اسمحلي بويَ، هاذ ما مسموح بيه.
N-04-66,,,
N-04-67,STOP! Do not proceed beyond this point until authorized by an appointed official.,wagev! laa titKhaTa Thee liblaaSeh elayn tazhbaR liThin min il mas-ool,وقٌف! لا تتخط َذي لبلاصه إلين تجبر لذن من المسؤول.
N-04-68,Please have identification ready to present.,HaDhaR biTaaqat il haweeyeh min vaDhlak,حضر بطاقة الهويه من فضلك.
N-04-69,Stop!,ogev!,اوقُف!
N-04-70,Stop or I will shoot!,ogev wala naKhibTak bi’maaRa!,اوقٌف وللَ نخبطك بعماره!
N-04-71,Follow our orders.,isma’ awaamiRna,اسمع أوامرنا.
N-04-72,Do not shoot!,laa taKhbaT!,لا تخبط!
N-04-73,Put your weapon down.,aTRaH silaaHak taHt,اطرح سلاحك تحت.
N-04-74,Move.,iHRik,احرك.
N-04-75,Come here.,wahaay zhaay,وهاي جاي.
N-04-76,Follow me.,itlibnee,أتلبني.
N-04-77,Stay here.,ibga hon,آبقٌ هون.
N-04-78,Wait here.,Haanee hon,حاني هون.
N-04-79,Do not move.,laa taHRik,لا تحرك.
N-04-80,Stay where you are.,ibga v bilak,أبقٌ فبلكْ.
N-04-81,Come with me.,wahaay im’aaya,وهاي أمعاي.
N-04-82,Take me to ___.,imshee beeya shoR ___,أمشي بى شور .___
N-04-83,Be quiet.,iskit,أسكت.
N-04-84,Slow down.,itkaayis,أتكايس.
N-04-85,Move slowly.,imshee bishoR,أمشي بشور.
N-04-86,Hands up.,eydeek il vog,أيديك ألفوقٌ.
N-04-87,Lower your hands.,eydeek it taHit,أيديك تحت.
N-04-88,,,
N-04-89,Lie on your stomach.,itkee i’la kiRshak,أتكي أعل كرشك.
N-04-90,Get up.,qoom,قٌوم.
N-04-91,We must search you.,yaalitna in nabshook,يالتنً نبشوك.
N-04-92,Turn around.,iz zagnen,أزقٌنن.
N-04-93,Walk forward.,imshee il gidaam,أمشي ألقدام.
N-04-94,Form a line.,‘adil Saf,عدل صف.
N-04-95,One at a time.,waaHid waaHid,واحد واحد.
N-04-96,You are next.,inta zhaay doRak,أنت جاي دورك.
N-04-97,Do not resist.,laa itqaawim,لا تقاوم.
N-04-98,Calm down.,itkaayis bishoR,أتكايس بشور.
N-04-99,Do not touch.,laa itmis The,لا تمس ذ.
N-04-100,Keep away.,Khaleek ib’eed,خليكْ ابعيد.
N-04-101,Let us pass.,Khaaleena nitKhaTaaw,خلينا نتخطاو.
N-04-102,Don’t be frightened.,laa tinKhla’,لا تنخلع.
N-04-103,You may leave.,itgid timshee,اتكُد تمشي.
N-04-104,Go.,imshee,أمشي.
N-04-105,Go home.,gees id daaR,كُيس الدار.
N-04-106,Open.,ivtaH,أفتح.
N-04-107,Close.,igval,أكُفل.
N-04-108,Beware.,a’Rav,أعرف.
N-04-109,Show me.,in’at lee,انعت لی
N-04-110,Tell me.,golee,قولی
N-04-111,Do not ___.,laa ___,لا .___
N-05-01,This is a United States war ship.,haaThee saveenit HaRib amReekeeyeh,هاذی سفینهَ حرب امریکیه
N-05-02,Captain,kaapeetayn,کابیتن
N-05-03,First Mate,iS SaaHib lawal,الصاحب الاول
N-05-04,Second Mate,iS SaaHib ithaanee,الصاحب الثاني
N-05-05,Seaman,SandRee il baHReeyeh,صندري البحريه
N-05-06,Recommend coming right for a port to port passage.,ishbeh itzhee i’la izheeha il ‘aRbeeyeh liTReeg bayn ipoRayn,أشبه أتجي أعلَ أجيهَ العربيه ل الطريقٌ بين أبوّرينْ
N-05-07,Are you at anchor?,inta ‘ind il Haasheeyeh?,أنت عند الحاشيه؟
N-05-08,Do you have power?,‘indak koRaanh?,عندك كورانه؟
N-05-09,Are you aground?,inta maas it tRaab?,أنت ماسْ التراب؟
N-05-10,Do you need assistance?,inta miHtaazh il mosaa’adeh?,أنت محتاج ألمساعده؟
N-05-11,Slow your speed.,Khavev is soR’a ishway,خفف السرعه أشويْ.
N-05-12,Come to all stop.,wagev tawgeeva taameh,وقٌف توقٌيفه تامه.
N-05-13,Port,ipoR,أبوّر
N-05-14,Starboard,iz ziR il ‘aRbee,الزر العربي
N-05-15,Mid ship,nuS is saveeneh,نص السفينه
N-05-16,Aft,is saveeneh min lewaRah,السفينه من اللوْرَ
N-05-17,Bridge,Saaleh,صاله
N-05-18,Top side,iz ziR il vogaanee,الزر الفوكٌاني
N-05-19,A beam,Thaw,ظو
N-05-20,Over take you,,
N-05-21,What are your intentions?,shinhowa tiKhmaamak?,شنهو تخمامكْ؟
N-05-22,I am altering my course to starboard.,laahee inbadil itezhaahee shoR izheeha il ‘aRbeeyeh,لاهِ أنبدل أتجاهي شور أجيهَ العربيه.
N-05-23,I am altering my course to port.,laahee inbadil itezhaahee shoR ipoR,لاهِ أنبدل أتجاهي شور أبوّر.
N-05-24,I am operating astern propulsion.,ana inshaghal aaleh min il lowRah,أنا أنشغل آله من اللورَ.
N-05-25,I intend to leave you on my starboard side.,anaa haamnee inKhaleek ‘ind iz ziR il ‘iRbee,أنا هامني أنخليك عند الزر العربي.
N-05-26,Are you under tow?,inta tinzhaR?,أنت تنجرْ؟
N-05-27,Do you need a tow?,tibqee inzhiRook?,تبقي أنجروكْ؟
N-05-28,What is the draft of your vessel?,shinhowa zhadwal RiHlet saveentak?,شنهو جدول رحلة سفينتك؟
N-05-29,Turn your navigation lights on.,igdee iThwaaw il milaaHa,أكٌدي ظواو الملاحه.
N-05-30,Do you have your fishing nets out?,maRagt shobaak it tiHwaat il gidaam?,مركٌت شباك التحوات الكٌدام؟
N-05-31,Do you have your fishing lines out?,maRagt izhliv it tiHwaat il gidaam?,مركٌت أجلف التحوات الكٌدام؟
N-06-01,General,geneRaal,جنرال
N-06-02,Admiral,admeeRaal,آدميرال
N-06-03,Colonel,kolonel,كولونل
N-06-04,Lieutenant Colonel,yaTna kolonel,يطنه كولونل
N-06-05,Commander,komaanda,كوماندَ
N-06-06,Major,adjeedan shef,أدجيدان شيف
N-06-07,Captain,kaapeetayn,كابتن
N-06-08,Lieutenant,yaTna,يطنه
N-06-09,Senior Sergeant,seRzhanh shef,سرجانه شيف
N-06-10,Soldier,SandRee,صندري
N-06-11,Airman,SandRee il zhaweeyeh,صندري الجوية
N-06-12,Seaman,SandRee il baHReeyeh,صندري البحرية
N-06-13,Marine,il baHReeyeh,البحرية
N-07-01,Who is your point of contact?,imin im’aak i’la litiSaal?,أمن امعاك أعلَ الأتصال؟
N-07-02,Who are the senior officers?,minhoma iDh DhobaaT il qodomaa?,منهومَ الضباط القدماء؟
N-07-03,Who will be sending the cargo?,min laahee imashee id bish?,من لاهِ إمَشي الدبشْ؟
N-07-04,Who will be the point of contact?,min laahee ee’ood im’aak i’la litiSaal?,من لاهِ إعود امعاك أعلَ الأتصال؟
N-07-05,What is your cargo?,dibshak shinhowa?,دبشكْ شنهو؟
N-07-06,What airline is carrying your cargo?,ay KhoTooT Raavda dibshak?,أي خطوط رافده دبشكْ؟
N-07-07,What is your phone or contact number?,shinhowa Raqam talefonak?,شنهو رقم تلفونك؟
N-07-08,What is your hotel?,shinhowa isim otlak?,شنهو اسم أوتلكْ؟
N-07-09,What is the mission impact of this casualty or item?,shinhowa ta-theeR Tho liSaabaat wala iRwaayaat?,شنهو تأثير ذو الإصابات وللَ ارواياتْ؟
N-07-10,When is the cargo arriving?,aynta toSal il Homoola?,أينت توصل الحموله؟
N-07-11,When is the unit’s flight deck available?,aynta ee’ood liblad ilee laahee itwagev veeh is saveena zhaahiz?,أينت إعود لبلد أللي لاهِ توقٌف فيه السفينه جاهزْ؟
N-07-12,When is your reception?,aynta waqit istiqbaalak?,أينت وقت استقبالك؟
N-07-13,Where does it need to go?,imnayn haamha itgees?,أمنين هامها أتكٌيس؟
N-07-14,Where is it coming from?,imin imnayn zaayeh?,أمن أمنين جايه؟
N-07-15,Where are the people?,waynhoma aRwaageezh?,وينهوم ارواكٌيج؟
N-07-16,Why do you need this?,ishlak ibhaaTha?,أشلك أبهاذَ؟
N-07-17,Why do they need to go?,sh imvaRTheek i’la timshee?,أشْ أمفرظيك أعل تمشي؟
N-07-18,Why are they late?,homa i’laash zhaayeen imtaRdeen?,هُم أعلاش جايين أمتردين؟
N-07-19,How much does it weigh?,shinhowa wazinha?,شنهوَ وزنها؟
N-07-20,How much does it cost?,shinhowa si’iRha?,شنهو سعرها؟
N-07-21,How can we contact you?,bismil Haaleh nitaSalo i’leek?,بسملْ حاله نتصلو أعليكْ؟
N-07-22,How can we contact them?,bismil Haaleh nitaSalo i’layhom?,بسملْ حاله نتصلو أعليهم؟
N-07-23,How much ammunition do you need?,kam min it ti’maaR miHtaazheen?,كم من أتعمار محتاجين؟
N-08-01,Do you have ___?,inta maa ‘indak ___?,أنت ما عندك ___؟
N-08-02,Do you have weapons?,inta ‘indak asliHa?,أنت عندك أسلحه؟
N-08-03,Do you have weapons of mass destruction?,inta ‘indak asliHat damaaR shaamil?,أنت عندك أسلحة دمار شامل؟
N-08-04,Do you have ammunition?,‘indak it ti’maaR?,عندك التعمار؟
N-08-05,Do you have water?,inta ‘indak ilmeh?,أنت عندكْ ألمَ؟
N-08-06,Do you have POWs?,‘indak imHaabees?,عندكْ أمحابيسْ؟
N-08-07,Do you need ___?,inta miHtaazh la ___?,أنت محتاج ل ___؟
N-08-08,I need ___.,anaa indooR ___,انا أندور .___
N-08-09,I need the police.,miHtaazh lepolees,محتاج لبوّليس.
N-08-10,I need help.,anaa miHtaazh il mosaa’ada,أنا محتاج ألمساعده.
N-08-11,I need medicine.,miHtaazh lid doweh,محتاج ل ألدّوَ.
N-08-12,I need a doctor.,anaa miHtaazh il Tabeeb,أنا محتاج ألطبيب.
N-08-13,Take me to ___.,imshee beeya shoR ___,أمشي بيَ شورْ .___
N-08-14,I want ___.,anaa indooR ___,أنا أندور .___
N-08-15,I want information about ___.,indooR ma’loomaat ‘an ___,أندور معلومات عن .___
N-08-16,I want water.,indooR ilmeh,أندور ألمَ.
N-08-17,I want food.,indooR iT’aam,أندور الطعام.
N-08-18,I want directions.,indooR Had isahdeenee,أندو حد إسهديني.
N-09-01,Do you speak English?,inta titkalam lingleezeeyeh?,أنت تتكلم الإنكٌيلزيه؟
N-09-02,Do you have ___?,inta ‘indak ___?,أنت عندكْ ___؟
N-09-03,Where are the weapons?,waynhoma laasliHa?,وينهوم الاسلحه؟
N-09-04,Do you have weapons of mass destruction?,inta ‘indak asliHit damaaR shaamil?,أنت عندك أسلحة دمار شامل؟
N-09-05,Do you have ammunition?,‘indak ThaKheeRa?,عندك الذخيره؟
N-09-06,How many others?,kam awKhaR?,كم أوخر؟
N-09-07,Do you have water?,inta maa ‘indak il meh?,أنت ما عندك ألمَ؟
N-09-08,Where is the hide out?,waynhowa iblad libRook?,وينهو ابلد لبروك؟
N-09-09,What is your job?,inta shinheeyeh shaghiltak?,أنت شنهي شغلتكْ؟
N-09-10,Where are the POWs?,waynhoma limHaabees?,وينهوم لمحابيس؟
N-09-11,To which cell do you belong?,inta min ay Khaleeyeh?,أنت من اي خليه؟
N-09-12,Do you have an ID card?,‘indak kaRt da dandeeteh?,عندكْ كرت د دانديتي؟
N-09-13,Who are you?,inta minho?,أنت منهو؟
N-09-14,Who is the leader?,minhowa il qaayid?,منهو القائد؟
N-09-15,Who is the captain?,minhowa il kaapeetayn?,منهو الكابتين؟
N-09-16,Who is in charge?,minhowa il mas-ool hon?,منهو المسؤول هون؟
N-10-01,Traditional greeting.,salaamo ‘alaykum,السلام عليكم.
N-10-02,Reply to traditional greeting,wa’alaykum is salaam,وعليكم السلام.
N-10-03,Welcome.,maRiHba,مرحبا.
N-10-04,Hello.,ishTaaRee,أشطاري.
N-10-05,Good morning.,iSbaaH il KhayR,صباح الخير.
N-10-06,Good night.,layla sa’eeda,ليلة سعيده.
N-10-07,Good bye.,wada’naak il moolaana,ودعناك ألمولانَ.
N-10-08,How are you doing?,inta ishHaalak?,انت أشحالك؟
N-10-09,How are you?,ishHaalak?,أشحالك؟
N-10-10,"I’m fine, thanks, and you?","tabaaRaka ilaah, maa shaa ilaah, ishTaaRee?",تبارك الله، ماشالله، أشطاري؟
N-10-11,I’m pleased to meet you.,mishaRav bizhbaaRak,مشرف بجبارك.
N-10-12,What’s up?,ishTaaRee?,أشطاري؟
N-10-13,Thank you for your help.,shukRan i’la il ma’oona,شكرا أعلَ المعونة.
N-10-14,Traditional reply to “How are you”?,libaas maa shaa ilaah,لباس ماشالله
N-10-15,I am fine.,libaas maa shaa ilaah,لباس ماشالله.
N-10-16,Thank you.,shukRan,شکراً.
N-10-17,Please.,min vaDhlak,من فضلک.
N-10-18,My name is ___.,ismee ___,أسمي .___
N-10-19,Do you speak English?,titkalam lingleezeeyeh?,تتكلم لنكُليزية؟
N-10-20,I do not speak Hassaniya.,anaa maa nitkalam il Hasaaneeyeh,أنا ما نتكلم الحسانية.
N-10-21,What is your name?,ismak?,أسمك؟
N-10-22,What is the date of your birth?,aynta iKhlaga?,أينت أخلاقَ؟
N-10-23,Where were you born?,inta iKhlaga v imnayn?,أنت أخلاقَ فمنينْ؟
N-10-24,What is your rank / title?,shinhowa KhaTak / shaghiltak?,شنهو خطك / شغلتكْ؟
N-10-25,What is your nationality?,inta min ay dawleh?,أنت من أي دولة؟
N-10-26,Do you have any identification papers?,‘indak ay shee yithbit il haweeyeh?,عندك أي شي يثبت الهويه؟
N-10-27,Do you have a passport?,‘indak paaSpooR?,عندك أباصبورْ؟
N-10-28,What is your job?,shinheeyeh shaghiltak?,شنهي شغلتكْ؟
N-10-29,Who is in charge?,minhowa il mas-ool hon?,منهو المسؤول هون؟
N-10-30,Where do you serve?,imnayn tishtighil?,أمنين تشتغل؟
N-10-31,Which group are you in?,inta min ay mazhmoo’a?,أنت من أي مجموعة؟
N-10-32,Answer the questions.,zhaawib i’la las-ila,جاوب أعل الأسئله.
N-10-33,Where are you from?,inta min ay iblad?,أنت من أي أبلد؟
N-10-34,Do you understand?,ivhimt?,أفهمتْ؟
N-10-35,I don’t understand,naanee vaahim,ماني فاهم
N-10-36,How much?,ibkam?,أبكمْ؟
N-10-37,How many?,kam min?,كم منْ؟
N-10-38,Repeat it,‘ilhaa,علَها
N-10-39,Where is ___?,imnaynhowa ___?,أمنينهو ___؟
N-10-40,What direction?,ay zheeha?,أي جيهَ؟
N-10-41,Is it far?,Tha ib’eed?,ذ أبعيد؟
N-10-42,Are there armed men near here?,maa veeh Razhaaleh misalHeen igRayeb hon?,ما فيهْ رجاله مسلحين أقَريب هون؟
N-10-43,Where did they go?,imnayn gaaso?,أمنين كَاسوا؟
N-10-44,What weapons?,ay silaaH?,أي سلاح؟
N-10-45,Speak slowly.,itkalam bishoR,أتكلم بشور.
N-10-46,Where is your unit?,waynheeyeh wiHidtak?,وينهي وحدتك؟
N-10-47,Where did you see them?,imnayn shivt-hom?,أمنين شفتهمْ؟
N-10-48,Where is your family?,waynhoma ahlak?,وينهوم أهلك؟
N-11-01,Emergency!,Haaleh musta’zheleh!,حاله مستعجله!
N-11-02,We need a doctor!,miHtaazheen il diktooR!,محتاجين ألدكتور!
N-11-03,Distress signal,a’RaaDh il alaam,أعراض الألم
N-11-04,Help!,‘aawnoonee!,عاونوني!
N-11-05,Evacuate the area!,Saybo liblaaSa!,صيبوا لبلاصة!
N-12-01,Guide me to ___.,sihdeenee i’la ___,سهديني أعلَ .___
N-12-02,Go to ___.,imshee shoR ___,أمشي شور .___
N-12-03,Go straight.,imshee imsagam,أمشي مسكٌم.
N-12-04,Go to the north.,imshee imgaavee,أمشي أمكٌافي.
N-12-05,Go to the east.,imshee imshaRag,أمشي أمشرقٌ.
N-12-06,Go to the west.,imshee imsoHal,أمشي أمسوحل.
N-12-07,Go to the south.,imshee mistagbel,أمشي مستكٌبل.
N-12-08,Follow directions.,imshee i’la iTReeg,أمشي اعلَ أطريقٌ.
N-12-09,Walk to ___.,goTaR shoR ___,كٌوطر شور .___
N-12-10,Walk forward.,imshee il gidaam,أمشي الكٌدام.
N-12-11,Turn to ___.,galib shoR ___,كٌلبْ شور .___
N-12-12,Turn to the right.,,
