A-01-01,We have a malfunction.,‘idnaa ‘ajez,عدنا عجز
M-03-10,Do you have any allergies to medicines?,‘indak Hasaasiya Dhed il-adweeya?,عِندَك حساسِيّة ضدّ الأدويَة؟
M-03-11,What is your religion?,shinoo deenak?,شِنو دينَك؟
M-03-12,Do you smoke tobacco?,id daKhin?,إتدَ ِّخن؟
M-03-13,How many packs of cigarettes do you smoke per day?,cham baakayt id daKhin bil yom?,چَم باكيت إتدَخّن باليوم؟
M-03-14,Are you married?,inta mitzawij?,إنتَ مِتزَوج؟
M-03-16,Do you have high blood pressure problems?,DhagheT damak ‘aalee?,ضغط دَمك عالي؟
M-03-17,Do you have diabetes?,‘indak sukar?,عندك سُكر؟
M-03-18,Do you have blood sugar control problems?,‘indak mushkelat sayTara ‘ala il sukar?,عندك مشكلة سيطرة على السُكر؟
M-03-19,Do you drink alcohol?,tishrab Khamur?,تشرب خَمُر؟
M-03-20,How much do you weigh?,cham waznak?,چَم وزنك؟
M-04-01,You have been injured.,inta majrooH,إنتَ مجروح
M-04-02,You are ill.,inta mareeDh,إنتَ مريض
M-04-03,Lie still.,itmadad min gheyr Haraka,إتمَدّد من غير حركة
M-04-04,We will take care of you.,raH indaareek,رَح إنداريك
M-04-05,Let us help you.,Khaleena insa’dak,خلّينا نساعدَك
M-04-06,We must examine you carefully.,laazim nifHaSak zayn,لازِم نفحصَك زين
M-04-07,We will try not to hurt you further.,maa raH in-aTheek thaanee,ما رَح إنأذيك ثاني
M-04-08,This will help protect you.,haThaa raH yiHmeek,هذا رَح يِحميك
M-04-10,Keep your head very still.,laa itHarik raasak,لا تْحَرّك راسَك
M-04-11,Keep very still.,laa titHarak,لا تتْحَرّك
M-04-12,Can you breathe?,tigdar titnafas?,تِگدَر تِتنَفّس؟
M-04-13,Say your name out loud.,gool ismak ibSot ‘aalee,گول إسمَك بصوت عالي
M-04-14,Do you hurt anywhere?,aku shee yoj’ak?,أكو شي يوجعَك؟
M-04-15,Show me where.,raaweenee wayn,راويني وين
M-04-16,Show me where it hurts worst.,raaweenee wayn yoj’ak akthar shay,راويني وين يوجعَك أكثَر شي
M-04-17,Does this hurt?,haThaa yoj’ak?,هذا يوجعَك؟
M-04-18,Move all of your fingers.,Harik kul aSaabee’ak,حَ ِّرك كُل أصابيعَك
M-04-19,Move all of your toes.,Harik kul aSaabi’ reelak,حَ ِّرك كُل أصابع رِيلك
M-04-20,Open your eyes.,iftaH ‘eyoonak,إفتَح عيونَك
M-04-21,Push against me.,idfa’ bitijaahee,إدفَع باتجاهي
M-04-22,You will feel better soon.,ba’d ishwaya raH itSeer zayn,بَعَد شويّة رح تصير زين
M-04-23,You must stay here.,laazim tibqa min naa,لازِم تِبقى منّا
M-04-24,When did you have your last meal?,mita aakalet aaKher mara?,متى أكلت آخر مرة؟
M-04-25,When was your last bowel movement?,mita aaKher mara baTnak meshat?,متى آخر مرة بطنك مشت؟
M-04-26,How often are you urinating?,cham mara itbool?,چم مرة تبول؟
M-04-27,Is it difficult to urinate?,aku So’ooba fit tabawel?,أكو صعوبة في التبول؟
M-05-01,You are badly hurt.,inta kulish mit’awer,إنتَ كُلّش مِتعَوّر
M-05-02,You are very sick.,inta kulish mareeDh,إنتَ كُلّش مَريض
M-05-03,We need to take you to surgery.,tiHtaaj ‘amaleeya,تحتاج عملية
M-05-04,We need to remove this.,laazim insheel haThaa,لازِم إنشيل هذا
M-05-05,We need to repair this.,laazim in’aalij haThaa,لازِم إنعالِج هذا
M-05-06,"If we do not operate, you may die.","iThaa maa insaweelak haay il ‘amaleeya, iHtimaal itmoot",إذا ما نسَوّيلك هاي العَمَلِيّة ، إحتِمال تموت
M-05-07,"If we do not operate, you may lose this.","iThaa maa insaweelak haay il ‘amaleeya, raH tiKhsar haThaa",إذا ما نسَوّيلك هاي العَمَلِيّة ، رَح تخسر هذا
M-05-08,"The operation is dangerous, but it is the only way to help you.","il ‘amaleeya KhaTra, bas hiya il Tareeqa il waHeeda ilee raH itsaa’dak",العَمَلِيّة خَطرَة، بَس هيّ الطريقَة الوحيدَة إللي رح تساعدك
M-05-09,Do you understand that you need this surgery?,tifham inta miHtaaj il haay il ‘amaleeya?,َتِفهَم إنتَ مِحتاج إلهاي العَمَلِيّة؟
M-05-10,We will operate very carefully.,kulish raH indeer baalna ‘alayk bil ‘amaleeya,كُلّش رَح ندير بالنا عليك بالعَمَلِيّة
M-05-11,We want your permission before we operate on you.,niHtaaj muwaafaqtak gabul maa insawee il ‘amaleeya,نِحتاج مُوافَقتَك گَبل ما نسَوّي العَمَلِيّة
M-05-12,May we operate on you?,raH itKhaleena insaweelak il ‘amaleeya?,رَح تخلينا نسويلك العَملية؟
M-05-14,This medicine will make you sleep.,haThaa al duwa raH yinaymak,هذا الدِوا رَح ينَيمَك
M-05-15,Have you had any surgeries?,inta imsawee ay ‘amaleeya gabul?,إنت مسوي أي عملية گبل؟
M-05-16,"Do you have any allergies, especially to medications?",‘indak Hasaasiya lil adwiya?,عندك حساسية للأدوية؟
M-05-17,Do you have high blood pressure / diabetes or blood sugar control problems?,‘indak mashaakil wiyaa DhagheT id dam aw wiyaa il sukar womaa tigdar itsayTer ‘alayha?,عندك مشاكل ويا ضغط الدم أو ويا السُكر وما تگدر تسيطر عليها؟
M-06-01,You have been hurt.,inta mit’awir,إنتَ مِتعَوّر
M-06-02,We are all working to help you.,kulna raH insaa’dak,كُلنا رَح نساعدك
M-06-03,Help us take care of you.,saa’idna Hata indeer baalna ‘alayk,ساعِدنا حتى ندير بالنا عليك
M-06-04,We have to remove your clothes.,laazim ninza’ ihdoomak,لازِم ننزع هدومك
M-06-05,Do you have any bad reactions to any medicine?,‘indak ay rad fi’il lil- adwiya?,عندك أي رد فعل للأدوية؟
M-06-06,Have you eaten food in the past six hours?,akalit gabul sit sa’aat?,أكلِت گَبل ست ساعات؟
M-06-07,Is this injury from a landmine?,haThaa il jareH min wara lughum?,هذا الجرح من وره لغم؟
M-06-08,Were you shot?,itSawabit?,إتصَِّوبت؟
M-06-09,Is this from a knife?,haay min wara sicheena?,هاي من وره سِچينة؟
M-06-10,Is this from a rock?,haay min wara SaKhra?,هاي من وره صَخرة؟
M-06-11,Is this from a vehicle crash?,haThaa min wara Haadith sayara?,هذا من وره حادث سيّارة؟
M-06-12,Did a person do this to you?,minoo sawa beek haThaa il shey?,منو سوى بيَك هذا الشي؟
M-06-13,Did you lose consciousness after this happened?,ghama ‘alayk ba’ad maa Saar hal shey?,غمى عليك بعد ما صار هالشي؟
M-06-14,Did you lose more than this much blood?,Tila’ min nak dam akthar min haay al kameeya?,طلع منك دم أكثر من هاي الكمية؟
M-06-15,Point to all the parts of your body that hurt.,ashir ‘ala amaakin ilee toj’ak,أشّر على أماكن إللي توجعك
M-06-16,Does it hurt when I do this?,yoj’ak min asawee chee?,يوجعك من أسوّي چي؟
M-06-17,Move this like this.,Harik haThaa chee,حرّك هذا چي
M-06-18,Turn over this way.,indaar min hal jiha,إندار من هالجهة
M-06-19,Did you inhale any smoke or very hot air?,itnafasit duKhaan aw hawa Haar?,تنفسِت دُخّان أو هوا حار؟
M-06-20,Do your lungs hurt?,‘indak wija’ bil ree-a?,عندك وجع بالرئة؟
M-06-21,Are you having trouble breathing?,‘indak Su’ooba min titnafas?,عندك صعوبة من تتنفّس؟
M-06-22,This will help avoid infection.,haThaa raH yemna’ il iltihaab,هذا رَح يمنع الإلتهاب
M-07-01,This will help you.,haThaa raH yisaa’dak,هذا رَح يساعدك
M-07-02,I have to put a small needle in you here.,laazim a’Teek ibra izgheera min naa,لازِم أعطيك إبرة زغيرة منّا
M-07-03,We need to give you fluid.,inreed insharbak sawaa-il,نريد نشربك سوائل
M-07-04,We need to give you blood.,inreed n’Teek dam,نريد نعطيك دَم
M-07-05,I need to put a tube into your throat.,raH aKhalee inboob ibHalgak,رَح أخلّي إنبوب بحلگك
M-07-06,This tube will help you breathe better.,haThaa il inboob raH yisaa’dak titnafas zayn,هذا الإنبوب رَح يساعدك تتنفّس زين
M-07-07,This tube may feel uncomfortable.,haThaa il inboob yimkin raH yiDhaygak,هذا الإنبوب يمكن رَح يضايگك
M-07-08,I need to put a tube through your nose to your stomach.,raH aKhalee inboob min Khashmak il ma’idtak,رَح أخلّي إنبوب من خشمَك إلمِعِدتَك
M-07-09,You need to swallow while I put this tube in your nose.,ibla’ min aKhalee haThaa il inboob ibKhashmak,إبلع من أخلّي هذا الإنبوب بخشمَك
M-07-10,Drink this while I gently place the tube into your nose.,ishrab min haThaa laman aKhalee il inboob ibKhashmak,إشرَب من هذا لمن أخلّي الإنبوب بخشمَك
M-07-11,This tube will drain your stomach.,haThaa il inboob raH yifarigh ma’ditak,هذا الإنبوب رَح يفَرّغ مِعِدتَك
M-07-12,I have to put a small tube into your neck to give you fluid.,raH aKhalee inboob izgheer ibrugubtak Hata a’Teek sawaa-il,رَح أخلّي إنبوب زغير برگُبتَك حتى أِعِطيك سوائل
M-07-13,I need to put a tube in your chest.,laazim aKhalee inboob ibSadrak,لازِم أخلّي إنبوب بصدرك
M-07-14,This needle will release the air from your chest.,haay il ubra raH itfarigh il hawa min Sadrak,هاي الأبرة رح تفرّغ الهوا من صدرك
M-07-15,This will help your burns.,haThaa raH yiTayib il iHroog,هذا رَح يطيب الحروگ
M-07-16,I need to cut your skin.,laazim aguS il jilid,لازم أگّص الجِلِد
M-07-17,We have to restrain you for your safety.,laazim nurbuTak Hata neHmeek,لازم نرُبطك حتى نحميك
M-07-18,You have been burned by a chemical.,inta maHroog bil keemyaawee,إنت محروگ بالكيمياوي
M-07-19,We need to wash the chemicals from your skin.,laazim nighsil haay il mawaad al keemyaawiya min jildak,لازم نِغسل هاي المواد الكيمياوية من جلدك
M-07-20,You will need to be completely washed.,laazim tighsil min fog lee jawa,لازم تغسل من فوگ ليجوه
M-07-21,Hold this dressing and apply pressure.,ilzam haThaa il lafaaf wo iDhghaT ‘aleeh,إلزم هذا اللفاف وإضغط عليه
M-07-22,I need to splint your arm.,anaa laazim ajabur eedak,آنا لازم أجبر إيدك
M-07-23,I need to splint your leg.,anaa laazim ajabur reelak,آنا لازم أجبر ريلك
M-07-24,I am applying a tourniquet to stop the bleeding.,anaa laazim aKhalee al DhaagheTa Hata itwaguf al nazeef,آنا لازم أخلي الضاغطة حتى توگف النزيف
M-08-01,Have you urinated today?,bilit il yom?,بِلت اليوم؟
M-08-02,Does your bladder feel full?,itHis ib mathantak matroosa?,تحس بمثانتَك مَتروسَة؟
M-08-03,Do you have problems starting to urinate?,‘indak mushkila min itreed itbool?,عِندَك مشكلَة من تريد تَبوّل؟
M-08-04,Do you have an urge to urinate but are unable to pass urine?,itHis itreed itbool bas maa tigdar itbool?,تحس إتريد إتبول بس ما تگدر إتبول؟
M-08-05,Do you have any pain with urination?,tish’ur ib ay wija’ min itbool?,تشعُر بأي وجع مِن إتبول؟
M-08-06,Urinate into this container.,bool ibhal qooTiya,بول بهالقوطية
M-08-07,You need a tube in your bladder.,tiHtaaj inboob ib mathantak,تِحتاج إنبوب بمثانتَك
M-08-08,I am going to insert a tube into your bladder to drain urine.,raH adaKhil inboob ib mathantak Hata infarigh il bol,رَح أدخّل إنبوب بمثانتَك حتّى نفرّغ البول
M-08-09,This tube will empty the urine from your bladder.,haThaa il inboob raH yifarigh il bol min mathantak,هذا الإنبوب رَح يفرّغ البول من مثانتَك
M-08-10,This tube will feel uncomfortable in you.,haThaa il inboob raH yiDhaygak,هذا الإنبوب رَح يضايگك
M-08-11,Do not touch this tube.,laa tilzam hal inboob,لا تِلزَم هالإنبوب
M-09-01,Do not eat or drink until the surgery.,laa takil wala tishrab gabul il ‘amaleeya,لا تاكل ولا تِشرَب گبل العمليَة
M-09-02,Do not eat or drink anything after midnight tonight.,laa takil wala tishrab ay shee wara nuS il layl,لا تاكل ولا تِشرَب أي شي وَرَه نص الليل
M-09-03,Take this medicine.,ishrab hal duwa,إشرَب هالدِوا
M-09-04,You must remain in bed.,laazim tibga bil fraash,لازِم تِبگى بالفراش
M-09-05,Do not move at all.,"abadan, laa titHarak",أبداً، لا تتحرك
M-09-06,You must stay in this room.,laazim tibga ibhal ghurfa,لازِم تِبگى بهالغُرفة
M-09-07,You must not smoke.,laazim maa it daKhin,لازِم مَا تدَ ِّخن
M-09-08,We have to cut your hair off here.,laazim inguS sha’rak min naa,لازِم نگص شَعرَك مَنّا
M-09-09,You may get up to go to the toilet.,tigdar itgoom witrooH lil Khalaa,تگدر تگوم وتروح لِلخلاء
M-09-10,We cannot give you anything to eat or drink.,maa nigdar ni’Teek laa akel wala shurub,مَا نِگدَر نِعَطيك لا أكِل ولا شُرُب
M-09-11,"If you need surgery, your stomach must be empty.","min itsawee ‘amaleeya, laazim me’adtak itkoon faargha",من تسوي عَمَلِيّة، لازِم مِعِدْتَك تكون فارغَة
M-09-12,We will give you food and drink as soon as it is safe to do so.,raH ni’Teek akel wo shurub awal matSeer zayn,رَح نِعطيك أكِل وشُرُب أوَل مَتصير زين
M-10-01,Are you having pain?,inta mitwaji’?,إنتَ مِتوَ ِّجع؟
M-10-02,Where are you having pain?,wayn yoj’ak?,وين يوجعك؟
M-10-03,Is the pain here?,il wija’ min naa?,الوِجَع مِنّا؟
M-10-04,Does anything make the pain better?,aku ay shee yeKhalee al wija’ yerooH?,أكو أي شي يخلي الوِجَع يروح؟
M-10-05,Does anything make the pain worse?,aku ay shee yeKhalee al wija’ akthar?,أكو أي شي يخلي الوِجَع أكثر؟
M-10-06,Did the pain start today?,bida al wija’ il yom?,بِدا الوِجَع اليوم؟
M-10-07,How many days have you had the pain?,Saar lak kam wo haThaa il wija’ ‘indak?,صار لك كم وهذا الوِجَع عندك؟
M-10-08,Describe the pain on a scale from 1 to 10.,oSef il wija’ min waaHid lil ‘ashra,أوصَف الوِجَع مِن واحِد لِلعَشرَة
M-10-09,10 is the worst possible pain and 1 is no pain at all.,‘ashra ma’naat ha kulish wija’ wo waaHid ma’naah maaku wija’ bil mara,عشرة معناتها كلش وجع وواحد معناها ماكو وجع بالمره
M-10-10,Hold up the number of fingers.,ashir ib aSabee’ak,أشر بأصابيعَك
M-10-11,What is the main problem?,shinoo heya il mushkila il ra-eeseeya?,شنو هي المشكلة الرئيسية؟
M-10-12,How long have you had the pain?,cham Saar lo al wija’ ‘indak?,چَم صار لو الوجع عندك؟
M-10-13,Show me where the pain started.,raaweenee wayn bida al wija’,راويني وين بدا الوجع
M-10-14,Does the pain go to the back?,il wija’ yerooH lee wara?,الوجع يروح ليوره؟
M-10-15,Does the pain go to the testicles?,il wija’ yerooH lil KhaSaawee?,الوجع يروح للخصاوي؟
M-10-16,Does this pain go to the groin?,il wija’ yerooH lil mafSal ilee bayn il faKhTh wil baTin?,الوجع يروح للمفصل إللي بين الفخذ والبطن؟
M-10-17,Is this a sharp pain?,haThaa al wija’ qawee?,هذا الوجع قوي؟
M-10-18,Is this a dull pain?,haThaa al wija’ Khafeef?,هذا الوجع خفيف؟
M-10-19,Is this a cramping pain?,haThaa al wija’ min tashanuj?,هذا الوجع من تشنج؟
M-10-20,Is this a constant pain?,haThaa al wija’ mistamer?,هذا الوجع مستمر؟
M-10-21,Is this an intermittent pain?,haThaa al wija’ mitgaTe’?,هذا الوجع متگطع؟
M-10-22,Is this a mild pain?,haThaa al wija’ Khafeef?,هذا الوجع خفيف؟
M-10-23,Is this a moderate pain?,haThaa al wija’ wasaT?,هذا الوجع وسط؟
M-10-24,Is this a severe pain?,haThaa al wija’ kulish qawee?,هذا الوجع كلش قوي؟
M-10-25,Is this the worst pain you ever had?,haThaa aswa wija’ Saar ‘indak?,هذا أسوأ وجع صار عندك؟
M-10-26,Is there anything that relieves the pain symptom?,aku ‘indak ay shee yeKhafef a’raaDh al wija’?,أكو عندك أي شي يخفف أعراض الوجع؟
M-10-27,Is there anything that worsens the pain symptom?,aku ay shay yesabib akthar a’raaDh al wija’?,أكو أي شي يسبب أكثر أعراض الوجع؟
M-10-29,What medicines are you taking?,shinoo al-adwiya ilee taKheThha?,شنو الأدوية إللي تاخذها؟
M-10-30,Are you experiencing fevers?,‘indak isKhoona?,عندك سخونة؟
M-10-31,Are you experiencing chills?,‘indak ibrooda?,عندك برودة؟
M-10-32,Are you experiencing nausea?,nafsak til’ab?,نفسك تلعب؟
M-10-33,Are you experiencing vomiting?,itzawi’?,تزوع؟
M-10-34,Are you experiencing diarrhea?,‘indak is haal?,عندك إسهال؟
M-10-35,Are you experiencing loss of appetite?,‘indak foqdaan shaheeya?,عندك فقدان شهية؟
M-10-36,Are you experiencing headaches?,‘indak wija’ raas?,عندك وجع راس؟
M-10-37,Are you experiencing visual disturbances?,naDharak zayn?,نظرك زين؟
M-10-38,Are you experiencing numbness or tingling?,inta tish’ur mitKhader aw mitnamel?,إنتَ تشعر متخدر أو متنمل؟
M-10-39,Are you experiencing bleeding by mouth or rectum?,‘indak nazeef ibHalgak lo bil sharij?,عندك نزيف بحَلگَك لو بالشرج؟
M-11-01,Do you feel sick?,ishbeek mareeDh?,شبيك مريض؟
M-11-02,Did you begin to feel sick today?,bidayt itHis bil maraDh il yom?,بِديت تحِس بالمرض اليوم؟
M-11-03,How many days have you felt sick?,Saar lak cham yom inta mareeDh?,صار لَك چَم يوم إنتَ مريض؟
M-11-04,Is the sickness here?,ihnaa il wija’?,هنا الوجع؟
M-11-05,Do you feel nauseated?,nafsak til’ab?,نفسَك تِلعَب؟
M-11-06,Did the nausea start today?,il yom la’bit nafsak?,اليوم لِعبت نَفِسك؟
M-11-07,How many days have you had the nausea?,Saar cham yom nafsak til’ab?,صار چَم يوم نَفسَك تِلعَب؟
M-11-08,Have you been vomiting?,zawa’it?,زَ ِّوعت؟
M-11-09,Is there any blood in your vomit?,aku dam bizwaa’ak?,أكو دَم بزواعك؟
M-11-10,Is there any black color in your vomit?,aku lon aswad bizwaa’ak?,أكو لون أسوَد بزواعك؟
M-11-11,Have you had any diarrhea?,‘indak is haal?,عِندَك إسهال؟
M-11-12,How many times have you had diarrhea today?,cham mara Saar ‘indak is haal il yom?,چَم مَرّة صار عِندَك إسهال اليوم؟
M-11-13,Would your diarrhea today fill this?,ishgad chaan is haalak?,شگد چَان إسهالك؟
M-11-14,What color is the diarrhea?,shinoo lon al Khurooj?,شنو لون الخروج؟
M-11-15,Is it red?,aHmar?,أحمر؟
M-11-16,Is it yellow?,aSfar?,أصفر؟
M-11-17,Is it green?,aKhDhar?,أخضر؟
M-11-18,Is it black?,aswad?,أسود؟
M-11-19,When was the last time you had a bowel movement?,ishwakit aaKher mara baTnak mishet?,شوكت آخر مَرّة بطنك مشت؟
M-11-20,Has there been any blood in your stool?,chaan aku dam bil Khurooj?,چَان أكو دَم بالخروج؟
M-11-21,Are you bleeding from your rectum?,‘indak nazeef bil sharij?,عندك نزيف بالشرج؟
M-11-22,Have your stools been black?,chaan il Khurooj maalak aswad?,چَان الخروج مالك أسود؟
M-11-23,Do you have fever?,‘indak isKhoona?,عندك سخونة؟
M-11-24,For how many days have you had a fever?,cham yom chinit imsaKhen?,چم يوم چنت مسخن؟
M-11-25,Does it burn when you urinate?,‘indak Hurga bil bol?,عندك حرگه بالبول؟
M-11-26,Does it hurt when you urinate?,‘indak wija’ min itbool?,عندك وجع من تبول؟
M-11-27,Are you urinating more than usual?,itbool akthar min il laazim?,تبول أكثر من اللازم؟
M-11-28,Is there blood in the urine?,aku dam bil bol?,أكو دم بالبول؟
M-11-29,When did you eat last?,ishwakit akalet aaKher mara?,شوكت أكلت آخر مَرّة؟
M-11-30,Are you hungry?,inta j’aan?,إنتَ جعان؟
M-11-31,Do you have worms?,‘indak dood?,عندك دود؟
M-11-32,Do you have malaria?,‘indak malaarya?,عندك ملاريا؟
M-11-33,Do you have tuberculosis?,‘indak sil?,عندك سل؟
M-11-34,Do you know what I mean by the term HIV?,ti’ruf ish aqSud ib ‘ibaarat eych-aay-vee?,تعرُف شأقصد بعبارة أچ- آي-في؟
M-11-35,Do you know what I mean by the term AIDS?,ti’ruf ish aqSud ib ‘ibaarat eydz?,تعرُف شأقصد بعبارَة أيدز؟
M-11-36,Are you infected with the HIV virus?,‘indak ‘adwa maal eych-aay-vee?,عِندَك عدوى مال أچ–آي– في؟
M-11-37,Do you have AIDS?,‘indak eydz?,عِندَك أيدز؟
M-11-38,You need a blood test for the HIV virus.,tiHtaaj faHS dam maal eych-aay-vee,تِحتاج فَحص دَم مال أچ–آي–في
M-12-01,Do you have pain in this joint I’m touching?,‘indak wija’ ibhal mafSal ilee anaa laazma?,عِندك وجع بهالمفصل إللي آنا لازمه؟
M-12-02,Do you have pain in any other joint?,‘indak wija’ ibhal mafSal ath thaanee?,عِندك وجع بهالمفصل الثاني؟
M-12-03,Which joint hurts the most?,ay mafSal yoj’ak azyad?,أي مفصل يوجعك أزيَد؟
M-12-04,Do you have pain in this muscle I’m touching?,‘indak wija’ ibhay il ‘aDhala illee anaa laazimha?,عِندك وجع بهاي العضَلَة إللي آنا لازمها؟
M-12-05,Do you have pain in any other muscle?,‘indak wija’ ibay ‘aDhala thaaneya?,عِندك وجع بأي عضَلَة ثانية؟
M-12-06,Where is the muscle pain?,wayn il wija’ maal al ‘aDhala?,وين الوِجَع مال العَضَلَة؟
M-12-08,Have you ever had any broken bones?,Saar ‘indak ay kasir bil i’Dhaam?,صار عندك أي كَسِر بالعظام؟
M-12-09,What bones have you broken?,ay i’Dhaam inkasrat?,أي عظام إنكسرت؟
M-12-10,Does it hurt when I do this?,yoj’ak min asawee chee?,يوجعك من أسوّي چي؟
M-12-11,Do this.,sawee chee,سوّي چي
M-12-12,You need an X-ray of your bone.,tiHtaaj ashi’a l’Dhaamak,تِحتاج أشّعة لِعظامك
M-12-13,I will examine the X- ray and tell you what I see.,raH afHaS al ashi’a wo agool lak ish’indak,رَح أفحص الأشعّة وأگولك شعندك
M-12-14,The bone is broken here.,al ‘aDhum haThaa maksoor,العظم هذا مكسور
M-12-15,The bone is not broken here.,al ‘aDhum haThaa maa maksoor,العظم هذا ما مَكسور
M-12-16,You need a cast to help the bone heal.,tiHtaaj chips Hata yiltiHim il ‘aDhum,تِحتاج چپس حتى يلتحم العظم
M-12-17,Do not remove the cast.,laa itsheel al chips,لا تشيل الچپس
M-12-18,Do not get the cast wet.,laa itKhalee il chips yetnaga’,لا تخلي الچپس يتنگع
M-12-19,You need a splint to help the injury heal.,tiHtaaj jibeera Hata yiltiHim al ‘aDhum,تحتاج جبيرة حتى يلتحم العظم
M-12-20,You may take the splint off to clean yourself.,tigdar itsheel al jebeera Hata itnaDhif nafsak,تِگدَر تِشيل الجبيرة حتى تنظّف نفسَك
M-12-21,The splint must be replaced after you have cleaned yourself.,badil al jebeera ba’ad maa itghasil,بدل الجبيرة بعد ما تغسل
M-12-22,You need a metal plate and screws to help the healing of your bone.,tiHtaaj qiT’at Hadeed wo baraaghee ‘alamood tiltiHim i’Dhaamak,تحتاج قطعة حديد وبراغي علمود تلتحم عظامك
M-12-23,We need to take you to the operating room to perform an operation on you.,laazim naKhThak il ghurfat il ‘amaliyaat Hata yesawoolak ‘amaleeya,لازم ناخذك لغرفة العمليّات حتى يسوولك عملية
M-13-01,Do you have an intrauterine device (birth control device)?,HaaTa lawlab?,حاطّه لَولَب؟
M-13-02,Have you had missed periods of menstruation recently?,faatetich il ‘aada?,فاتَتِچ العادَة؟
M-13-03,Do you use pills for birth control?,tista’mileen Huboob man’ il Hamil?,تِستَعمِلين حبوب مَنعِ الحَمِل؟
M-13-04,Are you pregnant?,intee Haamil?,إنتِ حامِل؟
M-13-05,Could you be pregnant?,tigdareen tiHbaleen?,تگدرين تحبلين؟
M-13-06,When was your last period?,ishwakit ijatij il ‘aada aaKher mara?,شوكت إجتج العادة آخر مَرّة؟
M-13-08,Are you having any vaginal discharge?,itHaseen ay shee moo Tabee’ee bil mahbal?,تحسين أي شي مو طبيعي بالمهبل؟
M-13-09,Are you having vaginal bleeding?,‘indich nazeef bil mahbal?,عندچ نزيف بالمهبل؟
M-13-10,How long have you had vaginal bleeding?,kam Saar lah in nazeef ‘indich bil mahbal?,كم صار له النزيف عندچ بالمهبل؟
M-13-11,Does the vaginal bleeding come and go?,in nazeef bil mahbal mitgaTe’?,النزيف بالمهبل متگطع؟
M-13-12,Is the vaginal bleeding constant?,in nazeef bil mahbal mustamer?,النزيف بالمهبل مستمر؟
M-13-13,Do you feel dizzy?,tish’ereen ibdoKha?,تشعرين بدوخة؟
M-13-14,How many months have you been pregnant?,Saar lich cham shahar Haamil?,صار لِچ چَم شَهَر حامِل؟
M-13-15,How many children do you have?,cham Tifil ‘indich?,چم طفل عندچ؟
M-13-16,Have you been raped?,ightiSboch?,إغتِصبوچ؟
M-13-17,We need to examine you carefully.,laazim nifHaSich zayn,لازِم نِفِحصِچ زين
M-13-18,We will protect your privacy as much as we can.,raH inHaafiDh ‘ala KhuSooSeetich ‘ala gadar maa nigdar,رَح نحافظ على خصوصيتِچ على گدر ما نگدر
M-13-19,Does this hurt?,haThaa yoj’ich?,هذا يوجعِچ؟
M-13-20,Do not push yet.,laa tidfa’een alHeen,لا تدفعين الحين
M-13-21,Push now.,idfa’ee alHeen,إدِفعي الحين
M-13-22,Push now as hard as you can.,idfa’ee ibkul qootich,إدفعي بكُل قوتِچ
M-13-23,The baby is here.,ijaa al Tifil,إجا الطِفِل
M-13-24,It is a boy.,jaalich walad,جالچ وَلَد
M-13-25,It is a girl.,jatlich ibnaya,جَِّتلچ بنَيّة
M-13-26,The baby looks healthy.,il Tifil imbayin SeHato zayna,الطِفِل مبيّن صِحتَو زينَة
M-13-27,We will take good care of the baby.,raH ni’tanee bil Tifil,رَح نِعتِني بالطِفل
M-14-01,Your child is sick.,Tiflich mareeDh,طِفلِچ مريض
M-14-02,Your child is hurt.,Tiflich mit-aThee,طِفلِچ مِتأذي
M-14-03,We need to care for your child.,laazim ni’tanee ib Tiflich,لازِم نِعتِني بطِفلِچ
M-14-04,You need to let us keep your child here.,laazim tismaHeelna inKhalee Tiflich min naa,لازِم تِسمَحيلنا نخلّي طِفلِچ منّا
M-14-05,You may stay with your child.,itgidreen tibqeen wiyaa Tiflich,تِگِدرين تِبقين ويّا طِفلِچ
M-14-06,Let us examine your child in private.,Khaleena nifHaS Tiflich ‘ala infiraad,خلّينا نِفحَص طِفلِچ على إنفِراد
M-14-07,Your child will get better soon.,Tiflich raH yiSeer zayn ibwakit qaSeer,طِفلِچ رَح يِصير زين بوقت قصير
M-14-08,This medicine will help your child.,haThaa al duwa raH yisaa’id Tiflich,هذا الدِوا رَح يساعِد طِفلِچ
M-14-09,Did your child eat today?,Tiflich akal al yom?,طِفلِچ أكَل اليوم؟
M-14-10,Did your child eat yesterday?,Tiflich akal ams?,طِفلِچ أكَل أمس؟
M-14-11,Has your child passed urine today?,Tiflich baal al yom?,طِفلِچ بال اليوم؟
M-14-12,Has your child passed any stool today?,Til’at baTin Tiflich al yom?,طِلعَت بَطِن طِفلِچ اليوم؟
M-14-13,Did your child pass any stool yesterday?,Til’at baTin Tiflich ams?,طِلعَت بَطِن طِفلِچ أمس؟
M-14-14,Has your child had any diarrhea?,Tiflich ‘indoo is haal?,طِفلِچ عندو إسهال؟
M-14-15,Has your child been vomiting?,Tiflich zawa’?,طِفلِچ زَوّع؟
M-14-16,Your child looks healthy.,Tiflich imbayin SeHatoo zayna,طِفلِچ مبيّن صِحتَو زينَة
M-14-17,Your child will be fine.,Tiflich raH yiSeer zayn,طِفلِچ رَح يصير زين
M-14-18,Your child will be ill for a long time.,Tiflich raH yibqa mareeDh li muda Taweela,طِفلِچ رَح يِبقى مريض لمُدّة طِويلَة
